Sample	Ancestry 1	Ancestry 2	Ancestry 3	Ancestry 4	Ancestry 5	Ancestry 6
99_1	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
99_2	1e-05	1e-05	0.002197	1e-05	0.997763	1e-05
99_4	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
98_1	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
98_2	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
98_4	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
98_3	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
98_5	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
97_2	1e-05	1e-05	1e-05	0.022613	0.912501	0.064856
97_1	1e-05	1e-05	1e-05	0.021102	0.936949	0.041919
97_4	1e-05	1e-05	1e-05	0.043135	0.880164	0.076671
97_3	1e-05	1e-05	1e-05	0.010695	0.982123	0.007153
96_1	1e-05	1e-05	1e-05	1e-05	0.994496	0.005464
96_2	1e-05	1e-05	1e-05	0.000697	0.999263	1e-05
96_3	1e-05	1e-05	1e-05	0.022353	0.977607	1e-05
96_4	1e-05	1e-05	1e-05	0.008957	0.991003	1e-05
95_1	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
95_2	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
95_4	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
95_3	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
94_1	1e-05	1e-05	1e-05	0.035667	0.964293	1e-05
94_2	1e-05	1e-05	1e-05	0.019784	0.980176	1e-05
94_4	1e-05	1e-05	1e-05	0.012504	0.987456	1e-05
94_3	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
93_2	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
93_3	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
93_4	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
92_1	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05
