SampleID	pc1	pc2
99_1	-15.055074341645652	-14.960869657394694
99_2	-12.828031908423368	-18.916501183250237
99_4	-15.064664699735994	-19.905946881933907
98_1	-14.438024215744289	-17.90661067171603
98_2	-14.2168423349258	-14.388365647842662
98_4	-13.37335782667564	-19.827288192228565
98_3	-16.962194679886668	-19.50265433458445
98_5	-15.021472370151791	-18.680980136235625
97_2	-14.893053701170048	-21.031936035305907
97_1	-15.458115523428209	-22.160019626328804
97_4	-14.447151088147704	-14.277139029494151
97_3	-17.05640156677495	-17.16953112053004
96_1	-13.903136716567134	-12.559982756410664
96_2	-14.072544666640113	-16.78120278922861
96_3	-16.748735159273473	-10.500744290320236
96_4	-16.42017093176186	-9.089674433968932
95_1	-15.667544954080496	-11.04104449404177
95_2	-13.63790427711026	-20.51387643095747
95_4	-16.326044821369184	-18.310735683808804
95_3	-15.63170309602426	-18.96060959193028
94_1	-14.26255973905946	-19.08506259192818
94_2	-14.56390247945247	-14.569283605513265
94_4	-15.223033080502235	-17.404329448887502
94_3	-13.060821851274625	-18.895513835909394
93_2	-15.071982841410916	-12.72148552457559
93_3	-13.32782458762074	-21.164476275911937
93_4	-16.124198513525222	-14.188975895709694
92_1	-13.59777660918597	-16.47220831341963
92_5	-14.351813269529352	-18.744723818033247
92_2	-13.765918690994896	-19.051423553953047
92_3	-13.367644893617715	-19.70625832532465
92_4	-13.49475027933439	-19.04318823555072
91_1	-14.05210799178064	-18.99453347139239
91_2	-16.400487052276112	-19.26793248373464
91_3	-12.938819850251	-21.671497767454436
91_4	-15.318071005320007	-19.316230841424765
90_1	-15.568476553775188	-19.24075543165525
90_2	-13.248690395793147	-21.401951240001623
90_3	-16.87731822334615	-21.184736536785472
9_1	-14.278218718711756	-21.17124722500309
9_2	-15.591153706312404	-21.809632320690717
9_4	-14.65597465988065	-14.20242556220353
9_3	-14.833598247269189	-19.24450278076008
9_6	-15.052892741602	-17.823600141672117
9_5	-14.645588878201837	-17.984140235970823
89_1	-14.38310352697999	-15.04931242056747
89_2	-16.098683463719482	-16.252132776005812
89_4	-15.204809698848536	-14.31479557552601
89_3	-17.6990751321087	-13.882361134562023
88_2	-16.2840805173204	-15.890998391040714
88_3	-17.265688278481807	-12.161087394038937
87_2	-16.399824048061056	-16.09597016642848
87_1	-15.15676670949974	-21.324785587756647
87_4	-15.457568497183216	-20.473684023595396
