SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs6687776	1	1095185	C1orf159	No associated clinical information for this SNP
rs3737626	1	1791146	GNB1	No associated clinical information for this SNP
rs16825336	1	1814287	GNB1	No associated clinical information for this SNP
rs4648592	1	1869595	GNB1	No associated clinical information for this SNP
rs7525092	1	1878651	GNB1	No associated clinical information for this SNP
rs903914	1	2357882	MORN1	No associated clinical information for this SNP
rs10910060	1	2371472	MORN1	Height
rs10910061	1	2372073	MORN1	No associated clinical information for this SNP
rs4310388	1	2575976	No gene information found	No associated clinical information for this SNP
rs10909890	1	2817022	No gene information found	No associated clinical information for this SNP
rs10797368	1	2936142	No gene information found	1-(1-enyl-oleoyl)-GPE (P-18:1) levels in elite athletes
rs10492941	1	3210573	PRDM16	No associated clinical information for this SNP
rs2455099	1	3264851	PRDM16	No associated clinical information for this SNP
rs882430	1	3342549	PRDM16	No associated clinical information for this SNP
rs1181877	1	3764165	CCDC27	No associated clinical information for this SNP
rs2275831	1	3829360	CEP104	No associated clinical information for this SNP
rs7535133	1	3831949	CEP104	No associated clinical information for this SNP
rs12084604	1	3837249	CEP104	No associated clinical information for this SNP
rs10492943	1	3848860	CEP104	No associated clinical information for this SNP
rs4074709	1	3880384	DFFB	No associated clinical information for this SNP
rs4131373	1	3890824	C1orf174	No associated clinical information for this SNP
rs11807227	1	3892859	C1orf174	No associated clinical information for this SNP
rs6695346	1	3936886	No gene information found	No associated clinical information for this SNP
rs12724233	1	3942772	LINC01346	No associated clinical information for this SNP
rs10737395	1	3947498	LINC01345;LINC01346	No associated clinical information for this SNP
rs4378174	1	4020825	No gene information found	No associated clinical information for this SNP
rs7418256	1	4024244	No gene information found	No associated clinical information for this SNP
rs12080516	1	4029553	No gene information found	No associated clinical information for this SNP
rs12036953	1	4044697	No gene information found	No associated clinical information for this SNP
rs12749761	1	4051127	No gene information found	No associated clinical information for this SNP
rs4481820	1	4092868	No gene information found	No associated clinical information for this SNP
rs10915434	1	4114056	No gene information found	No associated clinical information for this SNP
rs11808881	1	4140777	No gene information found	No associated clinical information for this SNP
rs9426471	1	4146150	No gene information found	No associated clinical information for this SNP
rs11579829	1	4222726	No gene information found	No associated clinical information for this SNP
rs7517989	1	4239667	No gene information found	No associated clinical information for this SNP
rs6426408	1	4240746	No gene information found	No associated clinical information for this SNP
rs10799220	1	4263042	No gene information found	No associated clinical information for this SNP
rs16838558	1	4283888	No gene information found	No associated clinical information for this SNP
rs1495239	1	4310014	No gene information found	No associated clinical information for this SNP
rs1353341	1	4312932	No gene information found	No associated clinical information for this SNP
rs3912751	1	4316756	No gene information found	Core binding factor acute myeloid leukemia
rs639739	1	4329202	No gene information found	No associated clinical information for this SNP
rs488256	1	4341503	No gene information found	No associated clinical information for this SNP
rs16838750	1	4344284	No gene information found	No associated clinical information for this SNP
rs1531328	1	4358104	No gene information found	No associated clinical information for this SNP
rs349394	1	4359394	No gene information found	No associated clinical information for this SNP
rs12025694	1	4360449	No gene information found	No associated clinical information for this SNP
rs16838830	1	4380538	No gene information found	No associated clinical information for this SNP
rs239339	1	4384479	No gene information found	Obesity-related traits
rs10915522	1	4396073	No gene information found	No associated clinical information for this SNP
rs16838950	1	4401194	No gene information found	No associated clinical information for this SNP
rs780586	1	4444867	No gene information found	No associated clinical information for this SNP
rs705685	1	4450780	No gene information found	No associated clinical information for this SNP
rs11584026	1	4454393	No gene information found	No associated clinical information for this SNP
rs6426417	1	4476616	No gene information found	No associated clinical information for this SNP
rs1037800	1	4480735	No gene information found	No associated clinical information for this SNP
rs350171	1	4484733	No gene information found	No associated clinical information for this SNP
rs350165	1	4504624	No gene information found	No associated clinical information for this SNP
rs4654552	1	4510922	No gene information found	No associated clinical information for this SNP
rs12039682	1	4521170	No gene information found	No associated clinical information for this SNP
