SNP_ID	DiseaseTrait
rs6687776	No associated clinical information for this SNP
rs3737626	No associated clinical information for this SNP
rs16825336	No associated clinical information for this SNP
rs4648592	No associated clinical information for this SNP
rs7525092	No associated clinical information for this SNP
rs903914	No associated clinical information for this SNP
rs10910060	Height
rs10910061	No associated clinical information for this SNP
rs4310388	No associated clinical information for this SNP
rs10909890	No associated clinical information for this SNP
rs10797368	1-(1-enyl-oleoyl)-GPE (P-18:1) levels in elite athletes
rs10492941	No associated clinical information for this SNP
rs2455099	No associated clinical information for this SNP
rs882430	No associated clinical information for this SNP
rs1181877	No associated clinical information for this SNP
rs2275831	No associated clinical information for this SNP
rs7535133	No associated clinical information for this SNP
rs12084604	No associated clinical information for this SNP
rs10492943	No associated clinical information for this SNP
rs4074709	No associated clinical information for this SNP
rs4131373	No associated clinical information for this SNP
rs11807227	No associated clinical information for this SNP
rs6695346	No associated clinical information for this SNP
rs12724233	No associated clinical information for this SNP
rs10737395	No associated clinical information for this SNP
rs4378174	No associated clinical information for this SNP
rs7418256	No associated clinical information for this SNP
rs12080516	No associated clinical information for this SNP
rs12036953	No associated clinical information for this SNP
rs12749761	No associated clinical information for this SNP
rs4481820	No associated clinical information for this SNP
rs10915434	No associated clinical information for this SNP
rs11808881	No associated clinical information for this SNP
rs9426471	No associated clinical information for this SNP
rs11579829	No associated clinical information for this SNP
rs7517989	No associated clinical information for this SNP
rs6426408	No associated clinical information for this SNP
rs10799220	No associated clinical information for this SNP
rs16838558	No associated clinical information for this SNP
rs1495239	No associated clinical information for this SNP
rs1353341	No associated clinical information for this SNP
rs3912751	Core binding factor acute myeloid leukemia
rs639739	No associated clinical information for this SNP
rs488256	No associated clinical information for this SNP
rs16838750	No associated clinical information for this SNP
rs1531328	No associated clinical information for this SNP
rs349394	No associated clinical information for this SNP
rs12025694	No associated clinical information for this SNP
rs16838830	No associated clinical information for this SNP
rs239339	Obesity-related traits
rs10915522	No associated clinical information for this SNP
rs16838950	No associated clinical information for this SNP
rs780586	No associated clinical information for this SNP
rs705685	No associated clinical information for this SNP
rs11584026	No associated clinical information for this SNP
rs6426417	No associated clinical information for this SNP
rs1037800	No associated clinical information for this SNP
rs350171	No associated clinical information for this SNP
rs350165	No associated clinical information for this SNP
rs4654552	No associated clinical information for this SNP
rs12039682	No associated clinical information for this SNP
rs12039710	No associated clinical information for this SNP
rs16839306	No associated clinical information for this SNP
rs977271	No associated clinical information for this SNP
rs10915566	No associated clinical information for this SNP
rs3896439	Dental caries
rs11587129	No associated clinical information for this SNP
rs2071995	No associated clinical information for this SNP
rs763238	No associated clinical information for this SNP
rs4654593	No associated clinical information for this SNP
rs3820253	No associated clinical information for this SNP
rs242050	No associated clinical information for this SNP
rs4654598	No associated clinical information for this SNP
rs428001	No associated clinical information for this SNP
rs2743979	No associated clinical information for this SNP
rs3766977	No associated clinical information for this SNP
rs414909	No associated clinical information for this SNP
rs9426506	No associated clinical information for this SNP
rs12026226	No associated clinical information for this SNP
rs10915626	No associated clinical information for this SNP
rs4654465	No associated clinical information for this SNP
rs4654468	No associated clinical information for this SNP
rs10915670	No associated clinical information for this SNP
rs12035499	No associated clinical information for this SNP
rs12409253	No associated clinical information for this SNP
rs12410485	No associated clinical information for this SNP
rs12029491	No associated clinical information for this SNP
rs6426375	No associated clinical information for this SNP
rs10799149	No associated clinical information for this SNP
rs7365286	No associated clinical information for this SNP
rs1459765	No associated clinical information for this SNP
rs1459761	No associated clinical information for this SNP
